zip,pop,state
94535,3857,06
94561,41911,06
94567,696,06
94585,29599,06
94588,36316,06
94592,1087,06
94607,26254,06
94611,39384,06
94709,11740,06
94805,14208,06
94021,436,06
94022,19378,06
95465,2104,06
95672,5220,06
95834,28229,06
95460,2277,06
95494,125,06
95126,35988,06
95134,27224,06
95202,6001,06
95209,44313,06
95222,5090,06
95466,993,06
95490,12914,06
95551,1374,06
95562,3422,06
95587,49,06
95601,144,06
95620,21854,06
95132,41844,06
95135,22358,06
95136,47599,06
95212,28049,06
95227,842,06
95305,37,06
95312,304,06
95313,1225,06
95317,906,06
95404,40474,06
95415,1262,06
95420,648,06
95445,2201,06
95449,1656,06
95974,64,06
95005,7710,06
95008,46513,06
95018,7060,06
95020,63852,06
95041,353,06
95051,58123,06
95064,10299,06
95065,8355,06
95110,20203,06
95111,62392,06
95124,51170,06
95125,53574,06
95131,31170,06
95133,28726,06
95215,24371,06
95223,2860,06
95224,166,06
95303,871,06
95318,268,06
95321,3337,06
95327,7711,06
95340,36373,06
95348,34241,06
95571,271,06
95240,48838,06
95366,17654,06
95367,25162,06
95374,1758,06
95382,38343,06
95439,774,06
95444,715,06
95323,1222,06
96145,2151,06
96021,16228,06
96074,174,06
96121,317,06
96112,202,06
96049,87,06
96111,94,06
96129,496,06
96135,230,06
96155,0,06
95618,26743,06
95665,4664,06
95677,25279,06
95691,37906,06
95625,67,06
95013,77,06
95053,3678,06
95075,484,06
95645,1652,06
95458,3019,06
95553,913,06
95610,45995,06
95361,34558,06
95457,3330,06
95545,101,06
95616,52088,06
95211,1629,06
95234,113,06
95248,189,06
95304,14539,06
95314,95,06
95319,1529,06
95341,32446,06
95375,5,06
95377,32501,06
95391,16562,06
95435,14,06
95467,6044,06
95486,73,06
95604,87,06
95652,667,06
95679,71,06
95680,10,06
95697,420,06
95698,179,06
95699,20,06
95724,20,06
95757,49683,06
96008,1328,06
96014,145,06
96016,375,06
95527,570,06
95226,16,06
95236,4223,06
95251,582,06
95254,1151,06
95320,13094,06
95329,2685,06
95357,11322,06
95113,1939,06
95116,56481,06
95206,64034,06
95207,51879,06
95220,7538,06
95358,33345,06
95360,13029,06
95368,14520,06
95369,990,06
95370,27951,06
95376,53542,06
95386,10587,06
95410,1159,06
95429,124,06
95446,5100,06
95453,11092,06
95469,2015,06
95471,470,06
95310,1995,06
95252,15703,06
95311,1649,06
95333,2479,06
95338,10898,06
95345,749,06
95354,24743,06
95364,0,06
95379,3586,06
95388,14242,06
95401,38986,06
95407,42483,06
95417,389,06
95426,1404,06
95427,222,06
95428,2563,06
95432,519,06
95437,14632,06
95443,270,06
95463,152,06
95468,1325,06
95488,251,06
95511,290,06
95546,3768,06
95556,627,06
95563,604,06
95569,295,06
95660,36472,06
95663,2602,06
95007,681,06
95014,62430,06
95033,9597,06
95039,1195,06
95112,61060,06
95923,28,06
95934,341,06
95936,114,06
95949,20519,06
95963,15043,06
95585,483,06
95615,999,06
95692,5152,06
95742,11921,06
95961,27728,06
95121,38102,06
95461,2440,06
95542,2072,06
95543,664,06
95547,978,06
95549,1050,06
95554,287,06
95558,423,06
95565,772,06
