substation id,substation name,status,owner,kv_12_to_32,kv_33_to_92,kv_110_to_161,kv_220_to_287,kv_345_to_500,kv_500_dc,highest_kv,postal city,county,zip code,state
SS2777,12Th St.,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Modesto,Stanislaus,95354,CA
SS1345,14Th & 52Nd,Operational,SMUD,0,YES,0,0,0,0,33kV to 92kV,Sacramento,Sacramento,95820,CA
SS1346,24Th & Gardendale,Operational,SMUD,0,YES,0,0,0,0,33kV to 92kV,Sacramento,Sacramento,95822,CA
SS1347,34Th & E,Operational,SMUD,0,YES,0,0,0,0,33kV to 92kV,North Highlands,Sacramento,95660,CA
SS1348,43Rd & S. Land,Operational,SMUD,0,YES,0,0,0,0,33kV to 92kV,Sacramento,Sacramento,95822,CA
SS2744,48Th-Martin Luther King,Operational,SMUD,0,YES,YES,0,0,0,110kV to 161kV,Sacramento,Sacramento,95823,CA
SS1350,88Th-Fruitridge,Operational,SMUD,0,YES,0,0,0,0,33kV to 92kV,Sacramento,Sacramento,95828,CA
SS2778,8Th St.,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Modesto,Stanislaus,95354,CA
SS2636,A W Hoch,Operational,IID,0,YES,0,0,0,0,33kV to 92kV,Calipatria,Imperial,92233,CA
SS0055,A.P.T. Oro,Operational,PG&E,0,YES,0,0,0,0,33kV to 92kV,Oroville,Butte,95965,CA
SS3609,Acacia,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Glendale,Los Angeles,91201,CA
SS3067,Acton,Operational,SCE,0,0,YES,0,0,0,110kV to 161kV,Acton,Los Angeles,93510,CA
SS2327,Adelanto,Operational,LADWP,0,0,0,0,YES,0,345kV to 500kV,Adelanto,San Bernardino,92301,CA
SS1055,Adin,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Lookout,Modoc,96054,CA
SS3607,Adobe,Operational,PG&E,0,0,YES,0,0,0,110kV to 161kV,Bakersfield,Kern,93307,CA
SS1896,Advanced Micro Devices,Operational,Other,0,0,YES,0,0,0,110kV to 161kV,Sunnyvale,Santa Clara,94085,CA
SS2770,Aec 2,Operational,Other,0,0,YES,0,0,0,110kV to 161kV,Tracy,San Joaquin,95377,CA
SS1756,Aec 300,Operational,Other,0,0,YES,0,0,0,110kV to 161kV,Tracy,San Joaquin,95377,CA
SS0696,Aerojet,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Azusa,Los Angeles,91702,CA
SS3592,Afg,Operational,SCE,YES,0,YES,0,0,0,110kV to 161kV,Victorville,San Bernardino,92395,CA
SS2013,Ager,Operational,PCORP,0,YES,YES,0,0,0,110kV to 161kV,Hornbrook,Siskiyou,96044,CA
SS3553,Agnew,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Santa Clara,Santa Clara,95054,CA
SS0216,Agrico,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Kerman,Fresno,93630,CA
SS2922,Agrilink Foods,Operational,Other,0,YES,0,0,0,0,33kV to 92kV,Watsonville,Santa Cruz,95076,CA
SS2834,Agua Mansa,Operational,SCE,0,YES,0,0,0,0,33kV to 92kV,Colton,San Bernardino,92324,CA
SS2708,Aidlin Geothermal,Operational,PG&E,0,0,YES,0,0,0,110kV to 161kV,Cloverdale,Sonoma,95425,CA
SS3416,Air Liquide,Operational,Other,0,0,YES,0,0,0,110kV to 161kV,Union City,Alameda,94587,CA
