feeder,substation,voltage,summerrating,peakampscurr,pctratingcurr,peakampslast,pctratinglast,loadcurvehist,loadcurvefor,amp_rating_bin
36_01_12161,121 CLINTON ST,"4,8",241,104,43.15,104,43.15,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12161.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12161.csv,201-300
36_01_12261,122 SOMMER ST,"4,16",266,"99,33",37.34,"98,67",37.09,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12261.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12261.csv,201-300
36_01_12262,122 SOMMER ST,"4,16",266,117,43.98,"115,67",43.48,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12262.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12262.csv,201-300
36_01_12265,122 SOMMER ST,"4,16",266,"146,67",55.14,"146,67",55.14,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12265.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12265.csv,201-300
36_01_12268,122 SOMMER ST,"4,16",266,100,37.59,50,18.8,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12268.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12268.csv,201-300
36_01_12272,122 SOMMER ST,"4,16",359,245,68.25,250,69.64,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12272.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12272.csv,301-400
36_01_12462,124 ALMEDA AVE,"4,16",333,"231,67",69.57,"231,093",69.4,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12462.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12462.csv,301-400
36_01_12463,124 ALMEDA AVE,"4,16",349,"39,67",11.37,"51,467",14.75,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12463.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12463.csv,301-400
36_01_12464,124 ALMEDA AVE,"4,16",325,"160,33",49.33,"193,873",59.65,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12464.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12464.csv,301-400
36_01_12465,124 ALMEDA AVE,"4,16",266,"61,67",23.18,"67,317",25.31,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12465.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12465.csv,201-300
