substation,amp_rating_bin,feeders,total_amps
105 SWANN RD,301-400,4,1445
121 CLINTON ST,201-300,1,241
122 SOMMER ST,201-300,4,1064
122 SOMMER ST,301-400,1,359
124 ALMEDA AVE,201-300,2,475
124 ALMEDA AVE,301-400,11,3573
126 STATION 126,201-300,3,798
126 STATION 126,301-400,1,386
127 DELAWARE ROAD,201-300,5,1475
129 BROMPTON,301-400,7,2276
130 NIAGARA FALLS BLVD,301-400,6,2154
130 NIAGARA FALLS BLVD,401-500,2,820
132 BUELL AVE,201-300,1,266
139 MARTIN RD,401-500,4,1608
140 MAPLE RD,301-400,7,2430
142 LEHIGH AVE,301-400,4,1466
146 WALDEN AVE.,201-300,1,241
154 GEORGE URBAN,401-500,3,1305
155 ROBERTS,301-400,3,1008
160 SUMMER ST.,201-300,3,798
160 SUMMER ST.,301-400,3,996
161 SHORT STREET,201-300,4,1121
161 SHORT STREET,301-400,4,1277
170 NEWFANE,301-400,3,1200
171 BURT,201-300,1,300
171 BURT,301-400,2,640
205 ERIE DRIVE,301-400,1,313
206 TONAWANDA CREEK,301-400,4,1411
206 TONAWANDA CREEK,401-500,2,950
207 SLADE AVE,201-300,1,215
208 STATION 208,201-300,1,266
208 STATION 208,301-400,5,1695
209 LONG ROAD,301-400,2,752
209 LONG ROAD,401-500,2,828
21 MAIN,201-300,10,3000
210 MILITARY RD,301-400,6,2223
211 AYER RD,301-400,5,1901
211 AYER RD,401-500,2,876
212 HARBOR FRONT,301-400,4,1496
213 DALE RD,401-500,2,940
214 STATION,301-400,5,1767
216 LOCKPORT RD,301-400,4,1284
217 WALMORE,301-400,1,359
217 WALMORE,401-500,3,1233
22 KENMORE,201-300,7,1840
22 KENMORE,301-400,3,1033
224 SWEET HOME,201-300,1,288
224 SWEET HOME,301-400,6,1978
229 RENAISSANCE DR,301-400,2,718
229 RENAISSANCE DR,401-500,5,2500
23 KENMORE,201-300,11,3300
232 OAKWOOD,301-400,6,2091
24 KENMORE,201-300,10,2697
25 STATION 25,201-300,9,2394
26 STATION 26,201-300,12,3532
27 JEWETT AVE,201-300,10,3000
2738 LARKINVILLE,201-300,2,436
28 STATION 28,201-300,10,2864
29 POTOMAC,201-300,11,3300
30 SPILLMAN,201-300,9,2394
31 STATION 31,201-300,10,2660
32 BAILEY,201-300,10,2660
33 STATION 33,201-300,9,2428
34 BEST ST.,201-300,9,2342
35 WALDEN,201-300,11,2810
36 SUMNER PL,201-300,11,2904
37 HUDSON AVE,201-300,10,3000
38 SPRING,101-200,1,200
38 SPRING,201-300,10,2373
39 WILLIAM,201-300,12,3341
40 WILLIAM STA,201-300,6,1627
40 WILLIAM STA,301-400,4,1559
40 WILLIAM STA,401-500,5,2138
41 STATION 41,201-300,10,2509
43 SENECA ST,301-400,9,3150
44 SOUTH PARK,201-300,10,2548
44 SOUTH PARK,301-400,1,350
45 STATION 45,201-300,8,2162
46 STATION 46,201-300,9,2491
47 STATION 47,201-300,5,1330
47 STATION 47,301-400,1,330
48 GELSTON,201-300,9,2428
49 BEST,201-300,9,2478
49 BEST,301-400,1,307
51 ELK ST,201-300,8,2018
52 HERTEL,201-300,9,2700
52 HERTEL,301-400,1,320
53 BAILEY,201-300,5,1330
54 MAIN,201-300,2,483
54 MAIN,301-400,7,2485
55 ELECTRIC AVE,401-500,4,1944
55 ELECTRIC AVE,500+,1,521
56 WILLOWDALE & BARTON,301-400,6,2236
56 WILLOWDALE & BARTON,401-500,1,430
56 WILLOWDALE & BARTON,500+,1,515
57 COLVIN,301-400,7,2494
58 HARLEM RD,201-300,1,277
58 HARLEM RD,301-400,6,2091
59 PERRY,201-300,5,1500
60 HAUSAUER RD,301-400,4,1415
60 HAUSAUER RD,401-500,3,1268
61 STATION 61,301-400,2,720
61 STATION 61,401-500,4,1608
63 HIGHLAND,301-400,5,1800
64 STATION 64,201-300,2,508
64 STATION 64,301-400,3,1131
64 STATION 64,500+,1,515
66 UNION RD & MECHANIC ST,201-300,1,300
67 STATION 67,201-300,2,491
