substation,amp_rating_bin,feeders,total_amps
162 STATION 162,201-300,3,798
205 ERIE DRIVE,301-400,1,313
29 POTOMAC,201-300,1,300
30 SPILLMAN,201-300,1,266
34 BEST ST.,201-300,1,256
37 HUDSON AVE,201-300,1,300
41 STATION 41,201-300,1,247
46 STATION 46,201-300,1,252
48 GELSTON,201-300,2,600
49 BEST,301-400,1,307
97 SUMMIT PARK,401-500,1,413
ASH ST. SUB,201-300,6,1571
ASH ST. SUB,301-400,8,2560
BUFF AVE STA,201-300,1,290
BUFF AVE STA,401-500,1,450
COLLAMER CROSSING,401-500,1,422
FRONT ST,301-400,5,1870
FRONT ST,401-500,1,440
GLENS FALLS,201-300,2,448
HENRY STREET,301-400,1,381
JUNIPER,101-200,1,142
LIBERTY,101-200,1,199
LIBERTY,201-300,5,1332
LIBERTY,301-400,2,632
LYSANDER,301-400,2,745
MILL ST.,201-300,5,1292
REYNOLDS RD,301-400,1,387
RIVERSIDE,301-400,7,2278
SEVENTH AVE,301-400,1,328
TEMPLE ST.,201-300,6,1538
TEMPLE ST.,301-400,4,1264
TEMPLE ST.,401-500,3,1383
TERMINA,301-400,4,1389
TRINITY,301-400,1,318
TRINITY,401-500,3,1340
WOLF RD.,301-400,1,357
