substation,x,y,index_right,Unnamed: 0,total_rated_MW,sum_feeders
PEBBLE HILL,-8467760.208,5315551.566,90,195.0,13.419912,4.0
GLENWOOD,-8480153.791,5315311.081,90,,,
ASH ST. SUB,-8477579.038,5320890.019,90,,,
FAYETTE STREET,-8478803.467,5319082.942,90,145.0,6.023680000000001,8.0
GALEVILLE SUBSTATION,-8481567.865,5325698.029,90,,,
TEALL AVE,-8473974.488,5325503.417,90,221.0,21.102444,6.0
SPRINGFIELD RD.,-8469305.537,5319798.159,90,,,
EAST MOLLOY ROAD,-8471333.292,5326744.474,90,139.0,11.655468,4.0
HARRIS ROAD,-8485903.32,5314597.337,90,156.0,23.161512,7.0
HANCOCK #2,-8473811.092,5327126.286,90,155.0,1.8216,1.0
PARK STREET,-8476207.882,5321610.987,90,193.0,3.7856,4.0
DORWIN,-8476821.412,5309489.368,90,133.0,3.3044128,4.0
COURT ST.,-8473966.638,5324686.623,90,,,
MIDLER,-8471016.041,5324804.795,90,,,
WESTVALE,-8485240.759,5319400.728,90,231.0,3.702358400000001,4.0
TEMPLE ST.,-8477262.592,5318033.813,90,222.0,42.173868,20.0
PEAT STREET,-8473403.671,5319845.953,90,194.0,12.7776,4.0
BRIDGE ST.,-8468215.967,5320424.655,90,110.0,13.195776,4.0
HANCOCK,-8473701.451,5327102.802,90,154.0,1.6931200000000002,2.0
MCBRIDE,-8476311.856,5317726.851,90,,,
ROCK CUT,-8475267.409,5313653.415,90,205.0,18.977244,6.0
