,substation,x,y,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger,total_rated_MW,sum_feeders
0,105 SWANN RD,-8793031.933,5342460.624,West,Lewiston,2.0,0.0,4.0,1.0,['115/13.8'],['15/20/25'],6.0,5979.0,2007-06-18,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,13.811688,4.0
1,121 CLINTON ST,-8768734.441,5291539.203,West,West Seneca,0.0,2.0,1.0,3.0,['34.5/4.8'],['0.833'],3.0,17.0,1999-03-01,34.5,4.8,0.0,0.833,0.0,0.0,0.0,0.0,True,0.4992,1.0
2,122 SOMMER ST,-8781113.837,5317063.641,West,North Tonawanda,0.0,2.0,5.0,1.0,['23/4.16'],"['2.5', '3.125']",7.0,867.0,1991-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,2.9452800000000003,5.0
3,124 ALAMEDA AVE,,,West,Amherst,0.0,2.0,13.0,4.0,['34.5/4.16'],['3.75/4.68'],15.0,4172.0,1962-09-19,34.5,4.16,0.0,3.75,4.68,0.0,0.0,0.0,True,7.1149728,13.0
4,126 STATION 126,-8782211.744,5313535.166,West,Tonawanda,0.0,2.0,4.0,2.0,['23/4.16'],['2.5'],6.0,2300.0,1974-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,3.4125728,4.0
5,127 DELAWARE ROAD,-8779274.116,5308359.039,West,Tonawanda,0.0,3.0,6.0,2.0,['23/4.16'],"['2.5', '2.5/3.125']",9.0,3777.0,1999-10-01,23.0,4.16,0.0,2.5,3.125,0.0,0.0,0.0,True,2.9369600000000005,5.0
6,129 BROMPTON,-8776237.93,5312231.199,West,Tonawanda,2.0,0.0,7.0,1.0,"['115/4.16', '115/4.33']",['7.5/9.375'],9.0,3222.0,2010-09-29,115.0,4.16,0.0,7.5,9.375,0.0,0.0,0.0,True,6.0722272,7.0
7,130 NIAGARA FALLS BLVD,-8774372.175,5313321.435,West,Amherst,2.0,0.0,8.0,2.0,['115/13.8'],['20/26.7/33.3'],10.0,7144.0,1993-12-01,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,16.561643999999998,8.0
8,132 BUELL AVE,-8764384.827,5301135.333,West,Cheektowaga,0.0,2.0,1.0,1.0,['34.5/4.8'],['3.75'],3.0,16.0,1986-01-01,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,0.48,1.0
9,138 OAKWOOD,,,West,Pendleton,1.0,0.0,2.0,1.0,['115/4.8'],['3.75/4.68'],3.0,994.0,1952-09-15,115.0,4.8,0.0,3.75,4.68,0.0,0.0,0.0,True,,
10,139 MARTIN RD,-8773151.361,5284005.433,West,Lackawanna,2.0,0.0,6.0,2.0,['115/4.16'],['3.75/4.687'],8.0,3105.0,1952-10-20,115.0,4.16,0.0,3.75,4.687,0.0,0.0,0.0,True,3.98528,4.0
11,140 MAPLE RD,-8766928.354,5310729.579,West,Amherst,2.0,0.0,8.0,2.0,['115/13.8'],['18/24/33.6'],10.0,8992.0,1973-09-05,115.0,13.8,0.0,18.0,24.0,33.6,0.0,0.0,True,16.917912,7.0
12,142 LEHIGH AVE,-8776313.759,5284718.262,West,Lackawanna,2.0,4.0,4.0,1.0,['115/34.5'],"['20/26.7/33.3', '22.4/29.9/37.4']",10.0,1470.0,1966-02-17,115.0,34.5,0.0,20.0,26.7,33.3,0.0,0.0,True,1.6640416000000002,4.0
13,146 WALDEN AVE.,-8764529.732,5297838.426,West,Cheektowaga,0.0,1.0,2.0,1.0,"['34.5/13.8', '34.5/4.8']","['1.5', '3.75']",3.0,156.0,1969-01-01,34.5,13.8,0.0,3.75,0.0,0.0,0.0,0.0,True,1.012044,1.0
14,154 GEORGE URBAN,-8768375.437,5299541.644,West,Cheektowaga,2.0,0.0,3.0,2.0,['115/4.16'],['3.75'],5.0,2154.0,1954-07-19,115.0,4.16,0.0,3.75,0.0,0.0,0.0,0.0,True,3.3695999999999997,3.0
15,155 ROBERTS,-8773653.386,5291672.075,West,Buffalo,1.0,0.0,3.0,1.0,['115/4.16'],['7.5'],4.0,2257.0,1975-01-01,115.0,4.16,0.0,7.5,0.0,0.0,0.0,0.0,True,1.1370944,3.0
16,160 SUMMER ST.,-8780369.915,5297447.548,West,Buffalo,0.0,6.0,6.0,2.0,['23/4.16'],"['3.75', '4.2/5.25']",12.0,1355.0,2007-04-01,23.0,4.16,0.0,3.75,0.0,0.0,0.0,0.0,True,3.1893888,6.0
17,161 SHORT STREET,-8782197.32,5303851.19,West,Buffalo,0.0,3.0,8.0,3.0,['23/4.16'],['3.75'],11.0,2748.0,1993-01-01,23.0,4.16,0.0,3.75,0.0,0.0,0.0,0.0,True,4.5482944,8.0
18,162 STATION 162,-8776992.536,5301204.077,West,Buffalo,0.0,2.0,3.0,1.0,['23/4.16'],"['2.5', '2.8']",5.0,7.0,1969-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,1.3325728,3.0
19,170 NEWFANE,-8760381.97,5355210.315,West,Newfane,0.0,2.0,3.0,1.0,['34.5/4.8'],['5.25'],5.0,1919.0,1972-01-01,34.5,4.8,0.0,5.25,0.0,0.0,0.0,0.0,True,2.5184159999999998,3.0
20,171 BURT,,,West,Newfane,0.0,2.0,3.0,1.0,['34.5/4.8'],['3.75/4.69/5.25'],5.0,1922.0,1994-01-01,34.5,4.8,0.0,3.75,4.69,5.25,0.0,0.0,True,3.107184,3.0
21,205 ERIE DRIVE,-8781480.575,5294483.584,West,Buffalo,0.0,3.0,2.0,4.0,['23/13.8'],['3.75'],5.0,348.0,1990-01-01,23.0,13.8,0.0,3.75,0.0,0.0,0.0,0.0,True,2.5520879999999995,2.0
22,206 TONAWANDA CREEK,-8772134.402,5320521.443,West,Amherst,2.0,0.0,6.0,1.0,['115/13.8'],"['15', '15/20/25']",8.0,6467.0,1990-02-01,115.0,13.8,0.0,15.0,0.0,0.0,0.0,0.0,True,15.8136,6.0
23,207 SLADE AVE,-8770119.665,5286195.339,West,West Seneca,0.0,0.0,0.0,1.0,['34.4/13.8'],['3.75/4.69'],0.0,7.0,2004-12-31,34.4,13.8,0.0,3.75,4.69,0.0,0.0,0.0,True,0.066,1.0
24,208 STATION 208,-8782936.517,5306783.232,West,Buffalo,0.0,3.0,6.0,2.0,['23/4.16'],"['3.75', '3.75/4.6']",9.0,2533.0,1993-01-01,23.0,4.16,0.0,3.75,4.6,0.0,0.0,0.0,True,4.0213472,6.0
25,209 LONG ROAD,-8792468.659,5319646.856,West,Grand Island,2.0,0.0,4.0,1.0,['115/13.8'],['15'],6.0,3917.0,1990-12-01,115.0,13.8,0.0,15.0,0.0,0.0,0.0,0.0,True,10.714044,4.0
26,21 MAIN,-8772323.044,5306585.513,West,Amherst,0.0,4.0,12.0,3.0,"['23/4.16', '23/4.36']",['3.75/4.687'],16.0,4815.0,2007-08-01,23.0,4.16,0.0,3.75,4.687,0.0,0.0,0.0,True,6.4133888,10.0
27,210 MILITARY RD,-8791070.054,5326102.287,West,Niagara Falls,2.0,0.0,5.0,1.0,['115/13.8'],['20/26.7/33.3'],7.0,5835.0,1991-05-01,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,14.643287999999998,6.0
28,211 AYER RD,-8762430.952,5311283.094,West,Amherst,2.0,0.0,8.0,2.0,['115/13.8'],['20/26.7/33.3'],10.0,4673.0,1994-01-07,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,17.353512,7.0
29,212 HARBOR FRONT,-8777356.088,5283436.094,West,Lackawanna,2.0,0.0,10.0,2.0,['115/13.8'],['15'],12.0,3249.0,2003-06-30,115.0,13.8,0.0,15.0,0.0,0.0,0.0,0.0,True,6.247955999999999,4.0
30,213 DALE RD,-8768409.434,5297288.734,West,Cheektowaga,2.0,0.0,2.0,1.0,['115/13.8'],['7.5/8.4'],4.0,61.0,1970-08-21,115.0,13.8,0.0,7.5,8.4,0.0,0.0,0.0,True,1.6279559999999997,2.0
31,214 STATION,-8778150.493,5311959.102,West,Tonawanda,2.0,0.0,5.0,1.0,['115/4.16'],['7.5/9.375'],7.0,1934.0,1975-01-01,115.0,4.16,0.0,7.5,9.375,0.0,0.0,0.0,True,3.5679072,5.0
32,216 LOCKPORT RD,-8796284.574,5329963.314,West,Niagara,2.0,0.0,4.0,1.0,['115/13.8'],['15/20/25'],6.0,3475.0,1992-06-29,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,11.184756,4.0
33,217 WALMORE,-8786082.015,5327484.143,,,,,,,[],[],,,,,,,,,,,,,10.441199999999998,4.0
34,22 KENMORE,-8775425.446,5305562.315,West,Buffalo,0.0,8.0,12.0,4.0,['23/4.16'],['3.75/4.6'],20.0,7409.0,1993-01-01,23.0,4.16,0.0,3.75,4.6,0.0,0.0,0.0,True,7.7250784,10.0
35,224 SWEET HOME,-8772217.398,5315734.043,West,Amherst,2.0,0.0,8.0,1.0,['115/13.8'],"['20/26.6/33.3', '20/26/33']",10.0,4377.0,2002-05-31,115.0,13.8,0.0,20.0,26.0,33.0,0.0,0.0,True,12.830268,7.0
36,229 RENAISSANCE DR,-8762596.461,5311285.586,West,Amherst,2.0,0.0,8.0,2.0,['115/13.8'],['20/26.7/33.3'],10.0,5733.0,2007-03-28,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,14.4408,7.0
37,23 KENMORE,-8777712.433,5305637.756,West,Buffalo,0.0,4.0,12.0,4.0,['22.9/4.36'],['3.75/4.687'],16.0,5393.0,2011-05-26,22.9,4.36,0.0,3.75,4.687,0.0,0.0,0.0,True,8.2714528,11.0
38,232 OAKWOOD,-8767033.958,5325097.851,West,Pendleton,2.0,0.0,6.0,2.0,['115/13.8'],['15/20/25'],8.0,3793.0,2005-08-01,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,16.328400000000002,6.0
39,24 KENMORE,-8780589.226,5305647.939,West,Buffalo,0.0,4.0,11.0,4.0,['22.9/4.36'],['3.75/4.69'],15.0,4939.0,2003-10-01,22.9,4.36,0.0,3.75,4.69,0.0,0.0,0.0,True,7.8291616,10.0
40,25 STATION 25,-8783434.301,5303964.159,West,Buffalo,0.0,6.0,11.0,2.0,['23/4.16'],"['2.5', '2.5/3.125']",17.0,4271.0,2000-12-05,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,6.032,9.0
41,26 STATION 26,-8777053.933,5303965.961,West,Buffalo,0.0,6.0,13.0,1.0,['23/4.16'],"['3.7/5.2', '3.7/5.25']",19.0,8098.0,1977-01-01,23.0,4.16,0.0,3.7,5.2,0.0,0.0,0.0,True,10.7619616,12.0
42,27 JEWETT AVE,-8776491.704,5301977.674,West,Buffalo,0.0,10.0,10.0,4.0,['23/4.16'],['2.5'],20.0,3873.0,1964-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,4.5039488,10.0
43,2738 LARKINVILLE,-8777228.999,5292244.358,,,,,,,[],[],,,,,,,,,,,,,0.532356,2.0
44,28 STATION 28,-8773529.252,5301753.818,West,Buffalo,0.0,4.0,12.0,4.0,['23/4.16'],['3.75/4.69'],16.0,7233.0,2003-03-31,23.0,4.16,0.0,3.75,4.69,0.0,0.0,0.0,True,6.3592256,10.0
45,29 POTOMAC,-8781646.243,5300381.141,West,Buffalo,0.0,8.0,12.0,4.0,['23/4.16'],['2.5'],20.0,5731.0,2010-10-07,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,7.6238656,12.0
46,30 SPILLMAN,-8778145.51,5300082.641,West,Buffalo,0.0,4.0,10.0,3.0,['23/4.16'],"['2.5/3.125', '2.5/3.13']",14.0,3083.0,1957-01-01,23.0,4.16,0.0,2.5,3.125,0.0,0.0,0.0,True,7.3077888,10.0
