substation,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger
AKWESASNE,Central,Massena,1,2,3,1,115/34.5,20/26.67/33.33,6,670,2008-06-21,115.0,34.5,0.0,20,26.67,33.33,0,0,True
AKWESASNE,Central,Massena,1,2,3,1,115/4.8,10/12.5,0,670,2008-06-21,115.0,4.8,0.0,10,12.5,0,0,0,True
PARTRIDGE ST.,East,Albany,0,5,10,1,34.5/13.8,3.75/4.69,15,7155,2003-02-24,34.5,13.8,0.0,3.75,4.69,0,0,0,True
ALBION SUBSTATION NO. 80,West,Albion,0,3,4,1,34.5/4.8,3.75,7,2368,1996-01-01,34.5,4.8,0.0,3.75,0,0,0,0,True
ALBION SUBSTATION NO. 80,West,Albion,0,3,4,1,34.5/4.8,3.75/5.25,0,2368,1996-01-01,34.5,4.8,0.0,3.75,5.25,0,0,0,True
ALDER CREEK,Central,Boonville,0,2,1,1,43.8/13.8,3.75/4.2,3,2126,1975-01-01,43.8,13.8,0.0,3.75,4.2,0,0,0,True
ALDER CREEK,Central,Boonville,0,2,1,3,46/4.8,0.5,0,2126,1975-01-01,46.0,4.8,0.0,0.5,0,0,0,0,True
ALTAMONT,East,Guilderland,2,1,3,1,115/13.8,12/16/20,6,5257,1975-01-01,115.0,13.8,0.0,12,16,20,0,0,True
ALTAMONT,East,Guilderland,2,1,3,3,115/34.5,5,0,5257,1975-01-01,115.0,34.5,0.0,5,0,0,0,0,True
ANDOVER,West,Andover,2,0,2,1,115/34.5,20/26.7,4,516,1957-08-27,115.0,34.5,0.0,20,26.7,0,0,0,True
ANDOVER,West,Andover,2,0,2,1,34.5/4.8,1,0,516,1957-08-27,34.5,4.8,0.0,1,0,0,0,0,True
ANTWERP,Central,Amtwerp,0,1,1,1,23/4.8,3.75,2,638,1994-01-01,23.0,4.8,0.0,3.75,0,0,0,0,True
BALMAT,Central,Fowler,1,2,1,3,23/.277/.480,1,4,647,2003-03-20,23.0,0.277,0.48,1,0,0,0,0,True
ARNOLD,Central,Utica,0,1,2,1,43.8/13.8,5/6.250,3,1969,1966-01-01,43.8,13.8,0.0,5,6.250,0,0,0,True
ARNOLD,Central,Utica,0,1,2,1,46/4.16,5/6.250,0,1969,1966-01-01,46.0,4.16,0.0,5,6.250,0,0,0,True
ASH STREET,Central,Syracuse,3,1,3,2,115/12,24/32/40,7,10413,1993-01-01,115.0,12.0,0.0,24,32,40,0,0,True
ASH STREET,Central,Syracuse,3,1,3,1,115/13.8,20/26.7/33.3,0,10413,1993-01-01,115.0,13.8,0.0,20,26.7,33.3,0,0,True
ASH STREET,Central,Syracuse,3,1,3,1,115/34.5,30/40/50,0,10413,1993-01-01,115.0,34.5,0.0,30,40,50,0,0,True
ASH STREET,Central,Syracuse,3,1,3,1,115/34.5,30/40/50/56,0,10413,1993-01-01,115.0,34.5,0.0,30,40,50,56,0,True
ASH STREET,Central,Syracuse,3,1,3,1,115/13.8,20/26.7/33.3,0,10413,1993-01-01,115.0,13.8,0.0,20,26.7,33.3,0,0,True
ASH STREET,Central,Syracuse,3,1,3,1,34.5/4.16,7.5/9.375,0,10413,1993-01-01,34.5,4.16,0.0,7.5,9.375,0,0,0,True
ASH STREET,Central,Syracuse,3,1,3,2,34.5/4.16,7.5/9.4,0,10413,1993-01-01,34.5,4.16,0.0,7.5,9.4,0,0,0,True
ASHLEY,East,Fort Ann,0,1,1,1,34.5/13.8,7.5,2,1237,1991-01-01,34.5,13.8,0.0,7.5,0,0,0,0,True
ATTICA STATION,West,Attica,0,4,3,1,34.5/4.8,5/6.25,7,2616,1965-01-01,34.5,4.8,0.0,5,6.25,0,0,0,True
AUSABLE FORKS,Central,Black Brook,0,1,1,1,46/4.8,2.5,2,646,2005-11-07,46.0,4.8,0.0,2.5,0,0,0,0,True
AVENUE A,East,Albany,0,2,6,2,34.5/4.16,5/6.25,8,3649,1958-01-01,34.5,4.16,0.0,5,6.25,0,0,0,True
AVON,West,Avon,0,1,3,1,34.5/4.8,3.75,4,2678,1960-01-01,34.5,4.8,0.0,3.75,0,0,0,0,True
STATION 150,West,Busti,2,0,3,1,115/13.8,15/20/25,5,5946,1991-05-20,115.0,13.8,0.0,15,20,25,0,0,True
BALLINA,Central,Cazenovia,1,0,1,1,34.5/13.8,5.6,2,1406,1982-01-01,34.5,13.8,0.0,5.6,0,0,0,0,True
BALLSTON,East,Ballston Spa,2,5,4,1,115/13.8,12/16/22.4,11,6947,2002-08-02,115.0,13.8,0.0,12,16,22.4,0,0,True
BALLSTON,East,Ballston Spa,2,5,4,1,115/34.5/13.8,30/40/50,0,6947,2002-08-02,115.0,34.5,13.8,30,40,50,0,0,True
BARKER STATION,West,Somerset,0,2,3,1,34.5/4.8,3.75,5,1407,1976-01-01,34.5,4.8,0.0,3.75,0,0,0,0,True
BARTELL,Central,Cicero,2,1,3,1,115/13.8,15/20/25,6,7326,1990-01-01,115.0,13.8,0.0,15,20,25,0,0,True
BASOM STATION,West,Alabama,0,2,2,2,34.5/4.8,1.5,4,787,1953-01-01,34.5,4.8,0.0,1.5,0,0,0,0,True
BATAVIA STATION,West,Batavia,4,3,4,2,115/13.8,20/26.7/33.3,11,7437,1964-07-15,115.0,13.8,0.0,20,26.7,33.3,0,0,True
BATAVIA STATION,West,Batavia,4,3,4,2,115/34.5,15/20,0,7437,1964-07-15,115.0,34.5,0.0,15,20,0,0,0,True
BATTENKILL,East,Easton,3,2,4,1,115/34.5/13.8,30/40/50,9,4940,1966-02-17,115.0,34.5,13.8,30,40,50,0,0,True
