,substation,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger,total_rated_MW,sum_feeders,_merge
0,105 SWANN RD,West,Lewiston,2.0,0.0,4.0,1.0,115/13.8,15/20/25,6.0,5979.0,2007-06-18,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,13.811688,4.0,both
1,105 SWANN RD,West,Lewiston,2.0,0.0,4.0,1.0,115/13.8,15/20/25,0.0,5979.0,2007-06-18,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,13.811688,4.0,both
2,121 CLINTON ST,West,West Seneca,0.0,2.0,1.0,3.0,34.5/4.8,0.833,3.0,17.0,1999-03-01,34.5,4.8,0.0,0.833,0.0,0.0,0.0,0.0,True,0.4992,1.0,both
3,122 SOMMER ST,West,North Tonawanda,0.0,2.0,5.0,1.0,23/4.16,2.5,7.0,867.0,1991-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,2.9452800000000003,5.0,both
4,122 SOMMER ST,West,North Tonawanda,0.0,2.0,5.0,3.0,23/4.16,3.125,0.0,867.0,1991-01-01,23.0,4.16,0.0,3.125,0.0,0.0,0.0,0.0,True,2.9452800000000003,5.0,both
5,124 ALAMEDA AVE,West,Amherst,0.0,2.0,13.0,4.0,34.5/4.16,3.75/4.68,15.0,4172.0,1962-09-19,34.5,4.16,0.0,3.75,4.68,0.0,0.0,0.0,True,7.1149728,13.0,both
6,126 STATION 126,West,Tonawanda,0.0,2.0,4.0,2.0,23/4.16,2.5,6.0,2300.0,1974-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,3.4125728,4.0,both
7,127 DELAWARE ROAD,West,Tonawanda,0.0,3.0,6.0,2.0,23/4.16,2.5/3.125,9.0,3777.0,1999-10-01,23.0,4.16,0.0,2.5,3.125,0.0,0.0,0.0,True,2.9369600000000005,5.0,both
8,127 DELAWARE ROAD,West,Tonawanda,0.0,3.0,6.0,1.0,23/4.16,2.5,0.0,3777.0,1999-10-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,2.9369600000000005,5.0,both
9,129 BROMPTON,West,Tonawanda,2.0,0.0,7.0,1.0,115/4.16,7.5/9.375,9.0,3222.0,2010-09-29,115.0,4.16,0.0,7.5,9.375,0.0,0.0,0.0,True,6.0722272,7.0,both
10,129 BROMPTON,West,Tonawanda,2.0,0.0,7.0,1.0,115/4.33,7.5/9.375,0.0,3222.0,2010-09-29,115.0,4.33,0.0,7.5,9.375,0.0,0.0,0.0,True,6.0722272,7.0,both
11,130 NIAGARA FALLS BLVD,West,Amherst,2.0,0.0,8.0,2.0,115/13.8,20/26.7/33.3,10.0,7144.0,1993-12-01,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,16.561643999999998,8.0,both
12,132 BUELL AVE,West,Cheektowaga,0.0,2.0,1.0,1.0,34.5/4.8,3.75,3.0,16.0,1986-01-01,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,0.48,1.0,both
13,138 OAKWOOD,West,Pendleton,1.0,0.0,2.0,1.0,115/4.8,3.75/4.68,3.0,994.0,1952-09-15,115.0,4.8,0.0,3.75,4.68,0.0,0.0,0.0,True,,,left_only
14,139 MARTIN RD,West,Lackawanna,2.0,0.0,6.0,2.0,115/4.16,3.75/4.687,8.0,3105.0,1952-10-20,115.0,4.16,0.0,3.75,4.687,0.0,0.0,0.0,True,3.98528,4.0,both
15,140 MAPLE RD,West,Amherst,2.0,0.0,8.0,2.0,115/13.8,18/24/33.6,10.0,8992.0,1973-09-05,115.0,13.8,0.0,18.0,24.0,33.6,0.0,0.0,True,16.917912,7.0,both
16,142 LEHIGH AVE,West,Lackawanna,2.0,4.0,4.0,1.0,115/34.5,20/26.7/33.3,10.0,1470.0,1966-02-17,115.0,34.5,0.0,20.0,26.7,33.3,0.0,0.0,True,1.6640416000000002,4.0,both
17,142 LEHIGH AVE,West,Lackawanna,2.0,4.0,4.0,1.0,115/34.5,22.4/29.9/37.4,0.0,1470.0,1966-02-17,115.0,34.5,0.0,22.4,29.9,37.4,0.0,0.0,True,1.6640416000000002,4.0,both
18,146 WALDEN AVE.,West,Cheektowaga,0.0,1.0,2.0,1.0,34.5/13.8,3.75,3.0,156.0,1969-01-01,34.5,13.8,0.0,3.75,0.0,0.0,0.0,0.0,True,1.012044,1.0,both
19,146 WALDEN AVE.,West,Cheektowaga,0.0,1.0,2.0,1.0,34.5/4.8,1.5,0.0,156.0,1969-01-01,34.5,4.8,0.0,1.5,0.0,0.0,0.0,0.0,True,1.012044,1.0,both
20,154 GEORGE URBAN,West,Cheektowaga,2.0,0.0,3.0,2.0,115/4.16,3.75,5.0,2154.0,1954-07-19,115.0,4.16,0.0,3.75,0.0,0.0,0.0,0.0,True,3.3695999999999997,3.0,both
21,155 ROBERTS,West,Buffalo,1.0,0.0,3.0,1.0,115/4.16,7.5,4.0,2257.0,1975-01-01,115.0,4.16,0.0,7.5,0.0,0.0,0.0,0.0,True,1.1370944,3.0,both
22,160 SUMMER ST.,West,Buffalo,0.0,6.0,6.0,2.0,23/4.16,3.75,12.0,1355.0,2007-04-01,23.0,4.16,0.0,3.75,0.0,0.0,0.0,0.0,True,3.1893888,6.0,both
23,160 SUMMER ST.,West,Buffalo,0.0,6.0,6.0,1.0,23/4.16,4.2/5.25,0.0,1355.0,2007-04-01,23.0,4.16,0.0,4.2,5.25,0.0,0.0,0.0,True,3.1893888,6.0,both
24,161 SHORT STREET,West,Buffalo,0.0,3.0,8.0,3.0,23/4.16,3.75,11.0,2748.0,1993-01-01,23.0,4.16,0.0,3.75,0.0,0.0,0.0,0.0,True,4.5482944,8.0,both
25,162 STATION 162,West,Buffalo,0.0,2.0,3.0,1.0,23/4.16,2.5,5.0,7.0,1969-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,1.3325728,3.0,both
26,162 STATION 162,West,Buffalo,0.0,2.0,3.0,1.0,23/4.16,2.8,0.0,7.0,1969-01-01,23.0,4.16,0.0,2.8,0.0,0.0,0.0,0.0,True,1.3325728,3.0,both
27,170 NEWFANE,West,Newfane,0.0,2.0,3.0,1.0,34.5/4.8,5.25,5.0,1919.0,1972-01-01,34.5,4.8,0.0,5.25,0.0,0.0,0.0,0.0,True,2.5184159999999998,3.0,both
28,171 BURT,West,Newfane,0.0,2.0,3.0,1.0,34.5/4.8,3.75/4.69/5.25,5.0,1922.0,1994-01-01,34.5,4.8,0.0,3.75,4.69,5.25,0.0,0.0,True,3.107184,3.0,both
29,205 ERIE DRIVE,West,Buffalo,0.0,3.0,2.0,4.0,23/13.8,3.75,5.0,348.0,1990-01-01,23.0,13.8,0.0,3.75,0.0,0.0,0.0,0.0,True,2.5520879999999995,2.0,both
30,206 TONAWANDA CREEK,West,Amherst,2.0,0.0,6.0,1.0,115/13.8,15,8.0,6467.0,1990-02-01,115.0,13.8,0.0,15.0,0.0,0.0,0.0,0.0,True,15.8136,6.0,both
31,206 TONAWANDA CREEK,West,Amherst,2.0,0.0,6.0,1.0,115/13.8,15/20/25,0.0,6467.0,1990-02-01,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,15.8136,6.0,both
32,207 SLADE AVE,West,West Seneca,0.0,0.0,0.0,1.0,34.4/13.8,3.75/4.69,0.0,7.0,2004-12-31,34.4,13.8,0.0,3.75,4.69,0.0,0.0,0.0,True,0.066,1.0,both
33,208 STATION 208,West,Buffalo,0.0,3.0,6.0,2.0,23/4.16,3.75/4.6,9.0,2533.0,1993-01-01,23.0,4.16,0.0,3.75,4.6,0.0,0.0,0.0,True,4.0213472,6.0,both
34,208 STATION 208,West,Buffalo,0.0,3.0,6.0,1.0,23/4.16,3.75,0.0,2533.0,1993-01-01,23.0,4.16,0.0,3.75,0.0,0.0,0.0,0.0,True,4.0213472,6.0,both
35,209 LONG ROAD,West,Grand Island,2.0,0.0,4.0,1.0,115/13.8,15,6.0,3917.0,1990-12-01,115.0,13.8,0.0,15.0,0.0,0.0,0.0,0.0,True,10.714044,4.0,both
36,21 MAIN,West,Amherst,0.0,4.0,12.0,3.0,23/4.16,3.75/4.687,16.0,4815.0,2007-08-01,23.0,4.16,0.0,3.75,4.687,0.0,0.0,0.0,True,6.4133888,10.0,both
37,21 MAIN,West,Amherst,0.0,4.0,12.0,1.0,23/4.36,3.75/4.687,0.0,4815.0,2007-08-01,23.0,4.36,0.0,3.75,4.687,0.0,0.0,0.0,True,6.4133888,10.0,both
38,210 MILITARY RD,West,Niagara Falls,2.0,0.0,5.0,1.0,115/13.8,20/26.7/33.3,7.0,5835.0,1991-05-01,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,14.643287999999998,6.0,both
39,211 AYER RD,West,Amherst,2.0,0.0,8.0,2.0,115/13.8,20/26.7/33.3,10.0,4673.0,1994-01-07,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,17.353512,7.0,both
40,212 HARBOR FRONT,West,Lackawanna,2.0,0.0,10.0,2.0,115/13.8,15,12.0,3249.0,2003-06-30,115.0,13.8,0.0,15.0,0.0,0.0,0.0,0.0,True,6.247955999999999,4.0,both
41,213 DALE RD,West,Cheektowaga,2.0,0.0,2.0,1.0,115/13.8,7.5/8.4,4.0,61.0,1970-08-21,115.0,13.8,0.0,7.5,8.4,0.0,0.0,0.0,True,1.6279559999999997,2.0,both
42,214 STATION,West,Tonawanda,2.0,0.0,5.0,1.0,115/4.16,7.5/9.375,7.0,1934.0,1975-01-01,115.0,4.16,0.0,7.5,9.375,0.0,0.0,0.0,True,3.5679072,5.0,both
43,216 LOCKPORT RD,West,Niagara,2.0,0.0,4.0,1.0,115/13.8,15/20/25,6.0,3475.0,1992-06-29,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,11.184756,4.0,both
44,217 WALMORE,,,,,,,,,,,,,,,,,,,,,10.441199999999998,4.0,right_only
45,22 KENMORE,West,Buffalo,0.0,8.0,12.0,4.0,23/4.16,3.75/4.6,20.0,7409.0,1993-01-01,23.0,4.16,0.0,3.75,4.6,0.0,0.0,0.0,True,7.7250784,10.0,both
46,224 SWEET HOME,West,Amherst,2.0,0.0,8.0,1.0,115/13.8,20/26/33,10.0,4377.0,2002-05-31,115.0,13.8,0.0,20.0,26.0,33.0,0.0,0.0,True,12.830268,7.0,both
47,224 SWEET HOME,West,Amherst,2.0,0.0,8.0,1.0,115/13.8,20/26.6/33.3,0.0,4377.0,2002-05-31,115.0,13.8,0.0,20.0,26.6,33.3,0.0,0.0,True,12.830268,7.0,both
48,229 RENAISSANCE DR,West,Amherst,2.0,0.0,8.0,2.0,115/13.8,20/26.7/33.3,10.0,5733.0,2007-03-28,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,14.4408,7.0,both
49,23 KENMORE,West,Buffalo,0.0,4.0,12.0,4.0,22.9/4.36,3.75/4.687,16.0,5393.0,2011-05-26,22.9,4.36,0.0,3.75,4.687,0.0,0.0,0.0,True,8.2714528,11.0,both
50,232 OAKWOOD,West,Pendleton,2.0,0.0,6.0,2.0,115/13.8,15/20/25,8.0,3793.0,2005-08-01,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,16.328400000000002,6.0,both
51,24 KENMORE,West,Buffalo,0.0,4.0,11.0,4.0,22.9/4.36,3.75/4.69,15.0,4939.0,2003-10-01,22.9,4.36,0.0,3.75,4.69,0.0,0.0,0.0,True,7.8291616,10.0,both
52,25 STATION 25,West,Buffalo,0.0,6.0,11.0,2.0,23/4.16,2.5,17.0,4271.0,2000-12-05,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,6.032,9.0,both
53,25 STATION 25,West,Buffalo,0.0,6.0,11.0,1.0,23/4.16,2.5/3.125,0.0,4271.0,2000-12-05,23.0,4.16,0.0,2.5,3.125,0.0,0.0,0.0,True,6.032,9.0,both
54,25 STATION 25,West,Buffalo,0.0,6.0,11.0,1.0,23/4.16,2.5,0.0,4271.0,2000-12-05,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,6.032,9.0,both
55,26 STATION 26,West,Buffalo,0.0,6.0,13.0,1.0,23/4.16,3.7/5.2,19.0,8098.0,1977-01-01,23.0,4.16,0.0,3.7,5.2,0.0,0.0,0.0,True,10.7619616,12.0,both
56,26 STATION 26,West,Buffalo,0.0,6.0,13.0,3.0,23/4.16,3.7/5.25,0.0,8098.0,1977-01-01,23.0,4.16,0.0,3.7,5.25,0.0,0.0,0.0,True,10.7619616,12.0,both
57,27 JEWETT AVE,West,Buffalo,0.0,10.0,10.0,4.0,23/4.16,2.5,20.0,3873.0,1964-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,4.5039488,10.0,both
58,2738 LARKINVILLE,,,,,,,,,,,,,,,,,,,,,0.532356,2.0,right_only
59,28 STATION 28,West,Buffalo,0.0,4.0,12.0,4.0,23/4.16,3.75/4.69,16.0,7233.0,2003-03-31,23.0,4.16,0.0,3.75,4.69,0.0,0.0,0.0,True,6.3592256,10.0,both
60,29 POTOMAC,West,Buffalo,0.0,8.0,12.0,4.0,23/4.16,2.5,20.0,5731.0,2010-10-07,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,7.6238656,12.0,both
61,30 SPILLMAN,West,Buffalo,0.0,4.0,10.0,3.0,23/4.16,2.5/3.125,14.0,3083.0,1957-01-01,23.0,4.16,0.0,2.5,3.125,0.0,0.0,0.0,True,7.3077888,10.0,both
62,30 SPILLMAN,West,Buffalo,0.0,4.0,10.0,1.0,23/4.16,2.5/3.13,0.0,3083.0,1957-01-01,23.0,4.16,0.0,2.5,3.13,0.0,0.0,0.0,True,7.3077888,10.0,both
63,31 STATION,West,Buffalo,0.0,4.0,11.0,1.0,23/4.16,2.5,15.0,5142.0,1948-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,4.4858528,10.0,both
64,31 STATION,West,Buffalo,0.0,4.0,11.0,2.0,23/4.16,2.5/3,0.0,5142.0,1948-01-01,23.0,4.16,0.0,2.5,3.0,0.0,0.0,0.0,True,4.4858528,10.0,both
65,31 STATION,West,Buffalo,0.0,4.0,11.0,1.0,23/4.16,2.5/3.13,0.0,5142.0,1948-01-01,23.0,4.16,0.0,2.5,3.13,0.0,0.0,0.0,True,4.4858528,10.0,both
66,32 BAILEY,West,Buffalo,0.0,4.0,10.0,4.0,23/4.16,2.5,14.0,7046.0,1951-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,4.2570944,10.0,both
67,33 STATION 33,West,Buffalo,0.0,4.0,10.0,4.0,23/4.36,3.75/4.68,14.0,5592.0,2006-07-28,23.0,4.36,0.0,3.75,4.68,0.0,0.0,0.0,True,4.0088672,9.0,both
68,34 BEST ST.,West,Buffalo,0.0,8.0,10.0,3.0,23/4.16,2.5,18.0,4637.0,1930-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,4.0505088,10.0,both
69,34 BEST ST.,West,Buffalo,0.0,8.0,10.0,1.0,23/4.16,2.5,0.0,4637.0,1930-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,4.0505088,10.0,both
70,35 WALDEN,West,Buffalo,0.0,4.0,11.0,4.0,23/4.16,2.5,15.0,4920.0,1930-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,4.3471584,11.0,both
71,36 SUMNER PL,West,Buffalo,0.0,4.0,11.0,4.0,23/4.16,3.75/4.7,15.0,7453.0,2001-06-01,23.0,4.16,0.0,3.75,4.7,0.0,0.0,0.0,True,5.3483872,11.0,both
