,0
0,WEHRLE DR
1,171 BURT
2,MACHIAS
3,RIPLEY
4,CASTLETON
5,STATION 11
6,LAKEVILLE  NO. 40
7,HARTFIELD
8,DUGAN RD
9,DEPOT RD
10,SONORA WAY
11,WALESVILLE
12,FINDLEY LAKE
13,EAST SPRINGFIELD
14,WEST HERKIMER
15,NEW FRANKHAUSER  STATION
16,NEW 85 STEPHENSON AVE
17,BUCKLEYS
18,DEPOT
19,ALBION
20,STOW
21,SAND RD 2
22,PRICE CORNERS DIST SUB
23,TWO MILE CREEK STATION
24,NEW WHITESVILLE
25,CENTRAL SQUARE
26,NEW ROYAL  2715
27,WETHERSFIELD STATION
28,SEVENTH NORTH
29,SAND RD & SAND RD2
30,VALLEY CRCC
31,KNIGHTS CREEK
32,SOUTH RANDOLPH
33,OHIO CHILDS MITS
34,WATT ST
35,FAIRMOUNT
36,CHAUTAUQUA
37,WHITESBORO
38,STATION 150
39,MIDDLEVILLE
40,WELLS
41,EAST SYRACUSE
42,WESTMORELAND
43,VAL KIN
44,SOUTH WELLSVILLE
45,GLENS FALLS
46,EAST OTTO
47,WELCH AVE METAL CLAD
48,WOLF RD
49,COLLAMER CROSSING
50,WEST CLEVELAND
51,31 STATION
52,STATION 56
53,LAKE SHORE
54,W ALBION
55,NORTH OLEAN
56,138 OAKWOOD
57,WHITE LAKE
58,ELLICOTT
59,SPRINGFIELD RD
60,ELM ST
61,STJOES
62,YORK CTR
63,CENTRAL SQUARE STATION
64,NORTH CHAUTAUQUA
65,BLUE STORES
66,CATTARAUGUS
67,WETZEL RD
68,MCBRIDE
69,PORTABLE SUB
70,217 WALMORE
71,FARMERSVILLE
72,CLYMER
73,WHITEHALL
74,WESTVILLE
75,MANLIUS
76,BUSTI
77,59 PERRY
78,FREWSBURG
79,COURT ST
80,ANDOVER
81,106 GIBSON
82,CHARLEY LAKE
83,"MIDDLEVILLE,  HANSON MIDDL"
84,WEST ADAMS
85,ALBION  NO. 80
86,LENOX
87,SODEMAN RD
88,STUVESANT
89,PETROLIA
90,SAND RD
91,STATION 31
92,PERRY ST
93,BRIGHTON AVE
94,GREENHURST
95,POLAND CRCC
96,STEAMBURG
97,WORCESTER
98,WATERPORT
99,MAPLEHURST  NO.4
100,POLAND
101,STATION 159
102,NORTH EPHRATAH
103,MAPLE AVE
104,CUBA
105,WINE CREEK
106,YAHNUNDASIS
107,SILVER LAKE
108,2738 LARKINVILLE
109,CUBA LAKE
110,W HAMLIN
111,ROSA RD
112,WEST MONROE
113,WARRENSBURG
114,PANAMA
115,WEAVER ST
116,WEIBEL
117,203 STATION
118,CASSADAGA
119,MERRILLVILLE
120,FRANKLINVILLE
121,LEVANT
122,SINCLAIRVILLE
123,HUDSON
124,BERRY RD
125,OAK HILL
126,FAY ST
127,WILTON
128,684 RIVERWALK
129,LASHER RD
130,EFFLEY FALLS
131,WESTVALE
132,WHITAKER
133,VALLEY
134,LAKEPORT
135,HANCOCK 2
