,substation,x,y,dist_feeders
0,CHITTENANGO,-8445879.449,5318078.102,1.0
1,PEBBLE HILL,-8467760.208,5315551.566,2.0
2,217 WALMORE,-8786082.015,5327484.143,
3,BYRON STATION,-8690029.781,5324569.873,1.0
4,GASPORT,-8747195.427,5343521.084,1.0
5,MIDDLEPORT,-8735869.955,5343833.339,1.0
6,LIVONIA,-8646262.881,5284715.425,1.0
7,BATAVIA STATION,-8704498.728,5311384.13,2.0
8,GRANBY CENTER,-8512331.045,5362070.399,1.0
9,NEW HAVEN,-8495339.781,5384517.312,1.0
10,MCGRAW,-8471699.47,5250217.361,1.0
11,GLENWOOD,-8480153.791,5315311.081,1.0
12,STARR RD,-8482428.15,5248780.254,1.0
13,LEHIGH,-8432462.226,5362472.517,1.0
14,PETERBORO,-8432488.522,5326450.595,1.0
15,60 HAUSAUER RD,-8766934.685,5315022.969,2.0
16,209 LONG RD,-8792468.659,5319646.856,1.0
17,STATION 25,-8783434.301,5303964.159,3.0
18,78 FASSETT ST,-8779056.736,5317470.585,5.0
19,21 MAIN,-8772323.044,5306585.513,2.0
20,71 S. NEWFANE,-8758700.765,5347311.323,1.0
21,CHASM FALLS,-8261790.322,5582846.159,1.0
22,NICHOLVILLE,-8309350.973,5573759.055,3.0
23,LOON LAKE,-8244077.79,5550640.495,1.0
24,DAVID,-8401682.432,5573646.421,1.0
25,STATION 45,-8780761.989,5303142.194,2.0
26,132 BUELL AVE,-8764384.827,5301135.333,1.0
27,155 ROBERTS,-8773653.386,5291672.075,1.0
28,212 HARBOR FRONT,-8777356.088,5283436.094,1.0
29,DEBALSO,-8381713.266,5325009.071,1.0
30,CLINTON CRCC,-8390631.862,5320222.72,1.0
31,FINE,-8363729.763,5504213.628,1.0
32,LITTLE RIVER,-8366176.955,5556000.049,3.0
33,THOUSAND ISLANDS,-8461899.32,5505270.328,1.0
34,MALTA,-8215296.771,5306548.211,1.0
35,FRONT ST,-8231117.439,5284816.509,2.0
36,SAND CREEK RD,-8218153.017,5271148.209,1.0
37,KNAPP RD,-8735293.141,5313881.892,1.0
38,INDIAN RIVER,-8440559.66,5477050.722,2.0
39,LOWVILLE,-8401987.698,5432333.98,2.0
40,PARISH,-8475519.302,5373544.171,1.0
41,ASH ST,-8477579.038,5320890.019,7.0
42,SENTINEL HEIGHTS,-8473141.833,5304649.692,2.0
43,MILL ST,-8449865.958,5461961.784,1.0
44,207 SLADE AVE,-8770119.665,5286195.339,1.0
45,HOAG,-8183599.196,5247311.445,1.0
46,CORINTH,-8218775.352,5349680.079,1.0
47,MC CREA ST,-8192597.812,5353298.21,1.0
48,NEW KRUMKILL,-8218230.937,5260536.468,2.0
49,EVERETT RD,-8211943.377,5265699.462,1.0
50,GILMANTOWN,-8276028.328,5387138.788,1.0
51,GRAND ST,-8291073.962,5262029.939,1.0
52,SHARON,-8298657.372,5276666.894,1.0
53,EPHRATAH,-8297418.856,5313448.506,2.0
54,RENSSELAER,-8209131.442,5256665.557,1.0
55,ELSMERE,-8216427.307,5255476.43,1.0
56,CARTHAGE,-8416785.583,5461766.098,1.0
57,FORTS FERRY,-8211817.94,5276079.235,1.0
58,MAPLEWOOD,-8205186.945,5273299.623,2.0
59,RAQUETTE LAKE,-8310533.675,5435904.533,1.0
60,WALESVILLE,-8387396.976,5330775.108,
61,SODEMAN RD,-8226113.693,5322190.965,
62,CENTRAL SQUARE STATION,-8475777.856,5357236.923,
63,BUTLER,-8199879.472,5351377.798,1.0
64,BUFF AVE STA,-8798957.583,5324228.585,2.0
65,RIFLE RANGE,-8221895.774,5269804.082,1.0
66,BURDECK ST,-8238298.583,5280324.021,1.0
67,FT. COVINGTON,-8292485.397,5618872.385,1.0
68,COLLAMER CROSSING,-8465114.759,5328072.149,
69,66 UNION RD & MECHANIC ST,-8767013.572,5296065.523,1.0
70,FAYETTE ST,-8478803.467,5319082.942,1.0
71,BRIDGEPORT,-8456695.879,5334222.021,1.0
72,ORANGEVILLE STATION,-8711140.552,5277349.515,1.0
73,LYNDONVILLE,-8725951.982,5361638.818,1.0
74,YORK CTR,-8668558.903,5292475.923,
75,WHITAKER,-8505150.428,5363110.428,
76,WEST CLEVELAND,-8453488.097,5349058.31,
77,LYSANDER,-8496161.999,5338595.248,1.0
78,CUYLER,-8455784.615,5272292.424,1.0
79,EUCLID,-8484498.518,5339857.958,1.0
80,CORTLAND,-8477225.684,5250520.142,2.0
81,EDEN CENTER,-8783218.63,5258752.323,3.0
82,NORTH COLLINS,-8788200.46,5250552.156,1.0
83,ROME,-8399399.358,5343221.332,1.0
84,MADISON,-8398076.577,5348591.873,1.0
85,22 KENMORE,-8775425.446,5305562.315,1.0
86,76 SHAWNEE,-8776575.848,5333708.635,1.0
87,82 11TH ST,-8799744.533,5328169.652,2.0
88,80 EIGHTH ST,-8800124.282,5325959.304,1.0
89,BLOOMINGDALE,-8247165.127,5528000.563,1.0
90,161 SHORT ST,-8782197.32,5303851.19,1.0
91,STATION 41,-8779293.291,5292893.326,1.0
92,NEWTON FALLS,-8348223.437,5498388.273,2.0
93,ST REGIS,-8311547.851,5617008.83,1.0
94,HIGLEY,-8341524.951,5547875.201,1.0
