pop,state,zip
3857,06,94535
41911,06,94561
696,06,94567
29599,06,94585
36316,06,94588
1087,06,94592
26254,06,94607
39384,06,94611
11740,06,94709
14208,06,94805
436,06,94021
19378,06,94022
2104,06,95465
5220,06,95672
28229,06,95834
2277,06,95460
125,06,95494
35988,06,95126
27224,06,95134
6001,06,95202
44313,06,95209
5090,06,95222
993,06,95466
12914,06,95490
1374,06,95551
3422,06,95562
49,06,95587
144,06,95601
21854,06,95620
41844,06,95132
22358,06,95135
47599,06,95136
28049,06,95212
842,06,95227
37,06,95305
304,06,95312
1225,06,95313
906,06,95317
40474,06,95404
1262,06,95415
648,06,95420
2201,06,95445
1656,06,95449
64,06,95974
7710,06,95005
46513,06,95008
7060,06,95018
63852,06,95020
353,06,95041
58123,06,95051
10299,06,95064
8355,06,95065
20203,06,95110
62392,06,95111
51170,06,95124
53574,06,95125
31170,06,95131
28726,06,95133
24371,06,95215
2860,06,95223
166,06,95224
871,06,95303
268,06,95318
3337,06,95321
7711,06,95327
36373,06,95340
34241,06,95348
271,06,95571
48838,06,95240
17654,06,95366
25162,06,95367
1758,06,95374
38343,06,95382
774,06,95439
715,06,95444
1222,06,95323
2151,06,96145
16228,06,96021
174,06,96074
317,06,96121
202,06,96112
87,06,96049
94,06,96111
496,06,96129
230,06,96135
0,06,96155
26743,06,95618
4664,06,95665
25279,06,95677
37906,06,95691
67,06,95625
77,06,95013
3678,06,95053
484,06,95075
1652,06,95645
3019,06,95458
913,06,95553
45995,06,95610
34558,06,95361
3330,06,95457
101,06,95545
52088,06,95616
1629,06,95211
113,06,95234
189,06,95248
14539,06,95304
95,06,95314
1529,06,95319
32446,06,95341
5,06,95375
32501,06,95377
16562,06,95391
14,06,95435
6044,06,95467
73,06,95486
87,06,95604
667,06,95652
71,06,95679
10,06,95680
420,06,95697
179,06,95698
20,06,95699
20,06,95724
49683,06,95757
1328,06,96008
145,06,96014
375,06,96016
570,06,95527
16,06,95226
4223,06,95236
582,06,95251
1151,06,95254
13094,06,95320
2685,06,95329
11322,06,95357
1939,06,95113
56481,06,95116
64034,06,95206
51879,06,95207
7538,06,95220
33345,06,95358
13029,06,95360
14520,06,95368
990,06,95369
27951,06,95370
53542,06,95376
10587,06,95386
1159,06,95410
124,06,95429
5100,06,95446
11092,06,95453
2015,06,95469
470,06,95471
1995,06,95310
15703,06,95252
1649,06,95311
2479,06,95333
10898,06,95338
