pop,state,zip
47793,36,10028
0,36,10119
11682,36,10044
1584,36,10162
43,36,10279
1792,36,13493
37624,36,13601
2245,36,13620
3504,36,13116
577,36,13141
10605,36,13148
8296,36,13224
1543,36,13315
1554,36,13328
1121,36,13334
1121,36,13338
107,36,13341
6045,36,13346
10855,36,13357
5155,36,13407
3775,36,13408
324,36,13418
4330,36,13329
897,36,13355
1063,36,13368
8851,36,13035
22738,36,13208
1722,36,13302
1696,36,13652
16069,36,13662
2260,36,13673
227,36,13675
17016,36,13676
1107,36,13684
835,36,13690
880,36,13731
1143,36,13744
2000,36,13746
5777,36,13753
514,36,13776
1036,36,13780
1400,36,13796
562,36,13802
609,36,13813
3193,36,13825
6135,36,13865
19195,36,13901
18496,36,13903
26194,36,13905
1734,36,13026
1109,36,13028
1987,36,13034
8798,36,13036
11453,36,13041
13772,36,13057
1073,36,13061
12550,36,13066
4380,36,13082
1616,36,13111
452,36,12766
1959,36,12779
377,36,12787
8525,36,12803
26272,36,12804
1382,36,14858
1182,36,14860
1253,36,14864
1302,36,14869
216,36,14874
465,36,14877
240,36,14884
23808,36,14207
21900,36,14211
1333,36,14418
2750,36,14435
17789,36,14468
6923,36,14489
2607,36,14525
5317,36,14530
1589,36,14550
12470,36,14605
13578,36,14613
10122,36,14625
3178,36,14712
582,36,14714
3844,36,14733
3247,36,14738
2268,36,14744
4108,36,14772
1040,36,14784
2279,36,14809
1012,36,14822
2179,36,14040
1286,36,14066
24167,36,14213
1621,36,14167
1956,36,14171
10805,36,14208
10695,36,14212
19775,36,14214
22499,36,14223
21846,36,14227
5805,36,14303
16683,36,14305
3528,36,14416
7439,36,14428
519,36,14462
10056,36,14467
280,36,14475
1349,36,14477
4925,36,14505
11771,36,14519
5426,36,14551
3021,36,14561
7426,36,14589
1497,36,14591
12019,36,14608
33264,36,14621
28233,36,12303
3306,36,12404
771,36,12409
10203,36,12414
10752,36,12211
804,36,14859
5475,36,14174
523,36,14113
2438,36,14139
2544,36,14170
18951,36,14218
7101,36,14414
205,36,14415
19201,36,14456
2651,36,14471
1709,36,14481
3989,36,14485
4446,36,14512
12951,36,14527
15127,36,14564
5412,36,14590
3561,36,14823
2000,36,14826
19772,36,14830
1754,36,14033
5341,36,14009
2379,36,14012
1703,36,14028
1012,36,14037
289,36,14060
20897,36,14072
44437,36,14120
3733,36,14125
40825,36,14150
2978,36,14172
1659,36,14889
1950,36,14898
2274,36,14476
2044,36,14427
6297,36,14432
4350,36,14433
8189,36,14482
4772,36,14510
2454,36,14516
20340,36,14526
31303,36,14534
4255,36,14541
2026,36,14544
4608,36,14546
34259,36,14612
1232,36,14614
12496,36,14004
3223,36,14025
4729,36,14036
24420,36,14043
2333,36,14422
14602,36,14619
11976,36,14622
39731,36,14701
2361,36,14724
2530,36,14775
2435,36,14782
831,36,14803
12135,36,14810
22833,36,12304
15422,36,12308
1999,36,12440
373,36,12460
1398,36,12481
369,36,12482
1535,36,12491
455,36,12517
8555,36,12563
6995,36,12564
2313,36,12581
34711,36,12590
90,36,12742
2214,36,12776
271,36,12786
3956,36,12790
14381,36,12801
4269,36,12816
8546,36,12828
5059,36,12305
922,36,12406
274,36,12421
7022,36,12428
4902,36,12446
1472,36,12472
785,36,12473
17563,36,12189
27407,36,12302
318,36,12420
290,36,12439
154,36,12450
146,36,14479
370,36,14486
551,36,14511
138,36,14529
114,36,14537
171,36,14539
60,36,14542
71,36,14549
679,36,14588
192,36,14592
2360,36,14627
152,36,14707
597,36,14720
269,36,14722
133,36,14732
276,36,14742
263,36,14752
70,36,14756
74,36,14774
1372,36,14778
73,36,14788
185,36,14827
2690,36,14853
13,36,14854
241,36,14856
0,36,14893
8955,36,14032
115,36,14134
182,36,12495
236,36,12507
13996,36,12538
2899,36,12547
26465,36,12553
2951,36,12567
7322,36,12570
6394,36,12721
1561,36,12723
256,36,12724
903,36,12734
413,36,12743
331,36,12749
14757,36,12771
2097,36,12780
1119,36,12785
205,36,12792
104,36,12812
472,36,12823
6569,36,12832
2328,36,12835
3204,36,12850
1577,36,12853
242,36,12855
1576,36,12870
153,36,12874
902,36,12914
2056,36,12916
72479,36,10466
12127,36,10474
19461,36,10509
220,36,10519
9077,36,10523
2402,36,12466
1069,36,12468
605,36,12469
1082,36,12474
733,36,12480
3483,36,12487
1463,36,12496
2719,36,12501
1223,36,12502
3395,36,12543
1213,36,12548
54988,36,12550
18731,36,12561
11003,36,12566
4434,36,12580
42589,36,12603
1635,36,12067
4186,36,12134
1749,36,12455
281,36,12416
1730,36,12062
2550,36,12094
729,36,12130
9383,36,12209
0,36,12007
0,36,12024
163,36,12040
213,36,12069
434,36,12085
115,36,12089
675,36,12124
267,36,12132
199,36,12161
271,36,12172
316,36,12174
305,36,12177
121,36,12195
6153,36,12222
429,36,12417
431,36,12432
39,36,12436
32,36,12438
68,36,12441
252,36,12452
291,36,12453
199,36,12465
315,36,12475
285,36,12483
28,36,12490
1498,36,12504
155,36,12512
0,36,12527
117,36,12530
405,36,12574
68796,36,10472
1231,36,10518
2106,36,10537
1496,36,10546
33531,36,10309
103732,36,10467
11045,36,10604
4057,36,10928
94218,36,10456
13152,36,10520
7060,36,10590
15684,36,10960
22924,36,10001
35743,36,10035
28109,36,10065
21556,36,10075
0,36,10110
0,36,10168
0,36,10174
148,36,10199
0,36,10311
925,36,10505
420,36,10517
