substation,x,y
CHITTENANGO,-8445879.449,5318078.102
PEBBLE HILL,-8467760.208,5315551.566
217 WALMORE,-8786082.015,5327484.143
BYRON STATION,-8690029.781,5324569.873
GASPORT,-8747195.427,5343521.084
MIDDLEPORT,-8735869.955,5343833.339
LIVONIA,-8646262.881,5284715.425
BATAVIA STATION,-8704498.728,5311384.13
GRANBY CENTER,-8512331.045,5362070.399
NEW HAVEN,-8495339.781,5384517.312
MCGRAW,-8471699.47,5250217.361
GLENWOOD,-8480153.791,5315311.081
STARR RD.,-8482428.15,5248780.254
LEHIGH,-8432462.226,5362472.517
PETERBORO,-8432488.522,5326450.595
60 HAUSAUER RD,-8766934.685,5315022.969
209 LONG ROAD,-8792468.659,5319646.856
25 STATION 25,-8783434.301,5303964.159
78 FASSETT ST.,-8779056.736,5317470.585
21 MAIN,-8772323.044,5306585.513
71 S. NEWFANE,-8758700.765,5347311.323
CHASM FALLS,-8261790.322,5582846.159
NICHOLVILLE,-8309350.973,5573759.055
LOON LAKE,-8244077.79,5550640.495
DAVID,-8401682.432,5573646.421
45 STATION 45,-8780761.989,5303142.194
132 BUELL AVE,-8764384.827,5301135.333
155 ROBERTS,-8773653.386,5291672.075
212 HARBOR FRONT,-8777356.088,5283436.094
DEBALSO,-8381713.266,5325009.071
CLINTON CRCC,-8390631.862,5320222.72
FINE,-8363729.763,5504213.628
LITTLE RIVER,-8366176.955,5556000.049
THOUSAND ISLANDS,-8461899.32,5505270.328
MALTA,-8215296.771,5306548.211
FRONT ST,-8231117.439,5284816.509
SAND CREEK ROAD,-8218153.017,5271148.209
KNAPP RD,-8735293.141,5313881.892
INDIAN RIVER,-8440559.66,5477050.722
LOWVILLE,-8401987.698,5432333.98
PARISH,-8475519.302,5373544.171
ASH ST. SUB,-8477579.038,5320890.019
SENTINEL HEIGHTS,-8473141.833,5304649.692
MILL ST.,-8449865.958,5461961.784
207 SLADE AVE,-8770119.665,5286195.339
HOAG,-8183599.196,5247311.445
CORINTH,-8218775.352,5349680.079
MC CREA ST.,-8192597.812,5353298.21
NEW KRUMKILL,-8218230.937,5260536.468
EVERETT RD,-8211943.377,5265699.462
GILMANTOWN,-8276028.328,5387138.788
GRAND ST.,-8291073.962,5262029.939
SHARON,-8298657.372,5276666.894
EPHRATAH,-8297418.856,5313448.506
RENSSELAER,-8209131.442,5256665.557
ELSMERE,-8216427.307,5255476.43
CARTHAGE,-8416785.583,5461766.098
FORTS FERRY,-8211817.94,5276079.235
MAPLEWOOD,-8205186.945,5273299.623
RAQUETTE LAKE,-8310533.675,5435904.533
WALESVILLE,-8387396.976,5330775.108
SODEMAN ROAD SUBSTATION,-8226113.693,5322190.965
CENTRAL SQUARE STATION,-8475777.856,5357236.923
BUTLER,-8199879.472,5351377.798
BUFF AVE STA,-8798957.583,5324228.585
RIFLE RANGE,-8221895.774,5269804.082
BURDECK ST,-8238298.583,5280324.021
FT. COVINGTON,-8292485.397,5618872.385
COLLAMER CROSSING,-8465114.759,5328072.149
66 UNION RD & MECHANIC ST,-8767013.572,5296065.523
FAYETTE STREET,-8478803.467,5319082.942
BRIDGEPORT,-8456695.879,5334222.021
ORANGEVILLE STATION,-8711140.552,5277349.515
LYNDONVILLE,-8725951.982,5361638.818
YORK CTR,-8668558.903,5292475.923
WHITAKER,-8505150.428,5363110.428
WEST CLEVELAND,-8453488.097,5349058.31
LYSANDER,-8496161.999,5338595.248
CUYLER,-8455784.615,5272292.424
EUCLID,-8484498.518,5339857.958
CORTLAND,-8477225.684,5250520.142
EDEN CENTER,-8783218.63,5258752.323
NORTH COLLINS,-8788200.46,5250552.156
ROME,-8399399.358,5343221.332
MADISON,-8398076.577,5348591.873
22 KENMORE,-8775425.446,5305562.315
76 SHAWNEE,-8776575.848,5333708.635
82 11TH ST,-8799744.533,5328169.652
80 EIGHTH STREET,-8800124.282,5325959.304
BLOOMINGDALE,-8247165.127,5528000.563
161 SHORT STREET,-8782197.32,5303851.19
41 STATION 41,-8779293.291,5292893.326
NEWTON FALLS,-8348223.437,5498388.273
ST. REGIS,-8311547.851,5617008.83
HIGLEY,-8341524.951,5547875.201
OGDENSBURG,-8404002.225,5573223.87
EDWARDS,-8376382.943,5516734.488
CROWN POINT,-8173016.627,5457905.971
STONER,-8273520.342,5309884.492
SMITH BRIDGE,-8212200.655,5329443.518
WEIBEL,-8209394.309,5326347.187
SEMINOLE,-8216445.203,5262084.934
HEMSTREET,-8194287.325,5297927.596
PIERCEFIELD,-8300608.398,5501525.915
FABIUS,-8459548.098,5287656.272
232 OAKWOOD,-8767033.958,5325097.851
24 KENMORE,-8780589.226,5305647.939
229 RENAISSANCE DR,-8762596.461,5311285.586
SARATOGA,-8212555.186,5325667.691
HUDSON FALLS,-8192225.23,5355675.774
FARNAN RD Mini,-8193501.743,5355664.497
PATROON,-8216367.938,5264747.778
WARRENSBURG,-8212684.739,5386540.098
INDIAN LAKE,-8267063.233,5431139.327
RUTH ROAD,-8223621.899,5273602.856
BATTENKILL,-8187561.834,5327293.428
DELANSON,-8259942.666,5275615.315
MC CLELLAN,-8228016.081,5282317.994
EAST WORCESTER,-8312366.709,5254224.434
SCHENEVUS,-8328822.734,5242971.497
SELKIRK,-8217340.736,5243019.949
GLOVERSVILLE,-8275980.109,5321387.157
CAROGA,-8293209.741,5331039.389
LATHAM,-8212651.287,5274745.064
MENANDS,-8207700.54,5264215.56
VALLEY CRCC,-8346990.527,5316966.181
OGDENBROOK,-8202183.28,5358980.429
DELEVAN,-8735250.749,5234618.293
684 RIVERWALK,-8785608.749,5312436.047
ROCK CITY,-8334162.607,5316788.452
NORTH EPHRATAH,-8294799.319,5318822.948
LABRADOR,-8463167.36,5269947.998
SWAGGERTOWN RD,-8232918.254,5295782.452
N. BANGOR,-8282495.555,5597926.654
BARTELL,-8475130.164,5346049.895
BRASHER,-8324825.585,5592924.408
SUMMIT,-8297720.452,5257522.769
Welch Ave Metal Clad,-8798027.703,5325383.917
214 STATION,-8778150.493,5311959.102
LAKEPORT,-8446154.08,5332760.785
49 BEST,-8779374.328,5297346.595
LINDEN STATION,-8697589.82,5293976.663
BROCKPORT,-8678095.702,5344368.032
GENESEO,-8655436.229,5280114.513
E BATAVIA STATION,-8698389.255,5310451.147
LORINGS,-8477012.877,5255404.857
BUCKLEY,-8478155.545,5331369.751
LANGFORD,-8775179.333,5247910.345
MILLER ST.,-8480843.079,5253164.323
124 ALMEDA AVE,-8774145.426,5309629.755
63 HIGHLAND,-8776991.491,5308042.722
216 LOCKPORT RD,-8796284.574,5329963.314
97 SUMMIT PARK,-8786003.547,5325419.167
WESTVILLE,-8281518.604,5611919.769
MORRISTOWN,-8420272.659,5555174.871
EAST WATERTOWN,-8444086.433,5455964.298
154 GEORGE URBAN,-8768375.437,5299541.644
26 STATION 26,-8777053.933,5303965.961
121 CLINTON ST,-8768734.441,5291539.203
LAKE SHORE,-8777545.935,5279170.067
ARNOLD,-8378780.297,5325593.587
NORWOOD,-8349371.793,5581357.671
MC ADOO,-8383221.331,5554117.733
EAST NORFOLK,-8347291.039,5589912.069
DEKALB E.S.,-8375949.141,5542177.664
WHITEHALL,-8168645.096,5396115.498
DUGUID,-8457656.225,5316833.188
BURGOYNE,-8189154.184,5359971.257
COMSTOCK,-8172206.257,5382368.202
GALEVILLE SUBSTATION,-8481567.865,5325698.029
LERAY,-8437675.326,5467209.23
ANTWERP,-8417278.842,5496853.605
HINSDALE,-8490029.728,5319008.042
EAST SPRINGFIELD,-8327065.149,5286042.382
WEHRLE DR,-8762313.087,5305407.08
CARDIFF,-8475580.76,5295306.177
RANDALL RD,-8228744.437,5308410.84
S. PHILADELPHIA,-8428928.027,5487675.186
KARNER,-8219538.314,5269478.168
Birch Avenue,-8206531.674,5375047.466
COLLINSVILLE,-8391763.63,5405575.747
COBLESKILL,-8291666.386,5264603.027
EAST SCHODACK,-8197314.438,5245554.538
LIMA,-8639885.646,5297633.171
SHERMAN CRCC,-8366550.617,5353702.661
EAST FULTON,-8504826.371,5362252.417
BELMONT,-8484325.596,5331210.228
STATE STREET,-8367452.682,5560056.052
NORTH CARTHAGE,-8414132.296,5463658.898
Ohio Childs (MITS),-8779420.462,5290771.237
GROOMS,-8218570.016,5286862.497
TEALL AVE,-8473974.488,5325503.417
CAZENOVIA,-8443099.501,5302421.456
MANLIUS,-8457670.24,5312108.075
DARIEN STATION,-8726259.069,5300334.18
W HAMLIN,-8677981.075,5356936.71
ROYALTON,-8742869.858,5334184.024
ALBION,-8704194.827,5349836.05
BASOM STATION,-8726508.645,5321590.135
ELBA STATION,-8703680.485,5322917.028
PALOMA,-8516692.705,5379334.824
SANDY CREEK 66,-8470210.119,5410466.204
THIRD ST,-8506582.627,5358720.557
FAIRDALE,-8521261.54,5361662.517
SORRELL HILL,-8499701.341,5335488.335
