substation,x,y,index_right
PEBBLE HILL,-8467760.208,5315551.566,90
GLENWOOD,-8480153.791,5315311.081,90
ASH ST. SUB,-8477579.038,5320890.019,90
FAYETTE STREET,-8478803.467,5319082.942,90
GALEVILLE SUBSTATION,-8481567.865,5325698.029,90
TEALL AVE,-8473974.488,5325503.417,90
SPRINGFIELD RD.,-8469305.537,5319798.159,90
EAST MOLLOY ROAD,-8471333.292,5326744.474,90
HARRIS ROAD,-8485903.32,5314597.337,90
HANCOCK #2,-8473811.092,5327126.286,90
PARK STREET,-8476207.882,5321610.987,90
DORWIN,-8476821.412,5309489.368,90
COURT ST.,-8473966.638,5324686.623,90
MIDLER,-8471016.041,5324804.795,90
WESTVALE,-8485240.759,5319400.728,90
TEMPLE ST.,-8477262.592,5318033.813,90
PEAT STREET,-8473403.671,5319845.953,90
BRIDGE ST.,-8468215.967,5320424.655,90
HANCOCK,-8473701.451,5327102.802,90
MCBRIDE,-8476311.856,5317726.851,90
ROCK CUT,-8475267.409,5313653.415,90
